Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Order_id,Customer_id,Product_id,Shipment_id
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Furnishings,6.16,2,0.0,2.9568,4f7c255c-fe21-4dd6-abb9-c0f5b32a1b85,90c71aa1-ad9b-4914-9eb8-dbb1bb76eba7,a84c2a8a-3c6f-4a96-8a97-761ea48fc42c,3e709522-99c1-452e-a1a3-4bab55545f67
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Chairs,89.99,1,0.0,17.0981,4f7c255c-fe21-4dd6-abb9-c0f5b32a1b85,90c71aa1-ad9b-4914-9eb8-dbb1bb76eba7,c1501176-6208-4087-9c61-6d1d04993c21,3e709522-99c1-452e-a1a3-4bab55545f67
Standard Class,Corporate,United States,New York City,New York,10024,East,Office Supplies,Fasteners,15.26,7,0.0,6.2566,5cc7576a-d45c-4804-8638-9db9f84be245,7b9a9c7b-0ce8-49b9-9fc1-ce4c9a1981c4,8f2e9688-9435-48ae-97ee-c405b0e9df05,2539cedb-dd85-40b1-916f-413217520722
Standard Class,Corporate,United States,New York City,New York,10024,East,Technology,Phones,1029.95,5,0.0,298.6855,5cc7576a-d45c-4804-8638-9db9f84be245,7b9a9c7b-0ce8-49b9-9fc1-ce4c9a1981c4,cc4243b2-972f-46ae-99a0-79ad1b2b02e7,2539cedb-dd85-40b1-916f-413217520722
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Storage,208.56,6,0.0,52.14,a6e4882b-a785-4ab1-87da-672f851dda35,f23ffc27-12d1-4412-9e90-6e91e049d893,b1035e3a-d289-47fd-997c-678681c45782,f5091fc2-7e60-4746-83cb-57389b0c982b
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,32.4,5,0.0,15.552,a6e4882b-a785-4ab1-87da-672f851dda35,f23ffc27-12d1-4412-9e90-6e91e049d893,efe32969-3c1a-4c37-a0ae-35295a30cbb7,f5091fc2-7e60-4746-83cb-57389b0c982b
First Class,Consumer,United States,Troy,New York,12180,East,Furniture,Chairs,319.41,5,0.1,7.098,a6e4882b-a785-4ab1-87da-672f851dda35,f23ffc27-12d1-4412-9e90-6e91e049d893,c1501176-6208-4087-9c61-6d1d04993c21,f5091fc2-7e60-4746-83cb-57389b0c982b
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,14.56,2,0.0,6.9888,a6e4882b-a785-4ab1-87da-672f851dda35,f23ffc27-12d1-4412-9e90-6e91e049d893,efe32969-3c1a-4c37-a0ae-35295a30cbb7,f5091fc2-7e60-4746-83cb-57389b0c982b
First Class,Consumer,United States,Troy,New York,12180,East,Technology,Accessories,30.0,2,0.0,3.3,a6e4882b-a785-4ab1-87da-672f851dda35,f23ffc27-12d1-4412-9e90-6e91e049d893,b5a6b04c-7073-437e-b60c-f9df408ee69b,f5091fc2-7e60-4746-83cb-57389b0c982b
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Binders,48.48,4,0.2,16.362,a6e4882b-a785-4ab1-87da-672f851dda35,f23ffc27-12d1-4412-9e90-6e91e049d893,c1973895-6814-4ddb-bc02-1d14f62e52f9,f5091fc2-7e60-4746-83cb-57389b0c982b
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Art,1.68,1,0.0,0.84,a6e4882b-a785-4ab1-87da-672f851dda35,f23ffc27-12d1-4412-9e90-6e91e049d893,e1e2ad17-6d85-425e-874e-dc4ccc3118ff,f5091fc2-7e60-4746-83cb-57389b0c982b
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Technology,Accessories,13.98,2,0.0,6.1512,ac02a915-df6e-4e8b-9ffb-631c28677302,e260663b-fc08-45b6-82e4-a24e7dfcea7b,b5a6b04c-7073-437e-b60c-f9df408ee69b,cc379952-b745-49f8-a3c3-d4b3fa25f59e
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Binders,25.824,6,0.2,9.3612,ac02a915-df6e-4e8b-9ffb-631c28677302,e260663b-fc08-45b6-82e4-a24e7dfcea7b,c1973895-6814-4ddb-bc02-1d14f62e52f9,cc379952-b745-49f8-a3c3-d4b3fa25f59e
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,146.73,3,0.0,68.9631,ac02a915-df6e-4e8b-9ffb-631c28677302,e260663b-fc08-45b6-82e4-a24e7dfcea7b,efe32969-3c1a-4c37-a0ae-35295a30cbb7,cc379952-b745-49f8-a3c3-d4b3fa25f59e
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Furniture,Furnishings,79.76,4,0.0,22.3328,ac02a915-df6e-4e8b-9ffb-631c28677302,e260663b-fc08-45b6-82e4-a24e7dfcea7b,a84c2a8a-3c6f-4a96-8a97-761ea48fc42c,cc379952-b745-49f8-a3c3-d4b3fa25f59e
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Furniture,Chairs,213.115,5,0.3,-15.2225,14e688dc-1520-4b4e-bb9f-2d0206e91659,a9de92d9-252f-4eeb-be12-6c6783cf9329,c1501176-6208-4087-9c61-6d1d04993c21,cbfb4160-57cd-42f0-b9f3-d728cad3edc0
Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Office Supplies,Art,1113.024,8,0.2,111.3024,31d1107d-f44a-4d32-92f9-2f2f9e91f328,418c621b-8374-45f1-bfd0-5f43920b1511,e1e2ad17-6d85-425e-874e-dc4ccc3118ff,1aa75a2f-59d0-4264-8930-5b7d36156e45
Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Technology,Phones,167.968,4,0.2,62.988,31d1107d-f44a-4d32-92f9-2f2f9e91f328,418c621b-8374-45f1-bfd0-5f43920b1511,cc4243b2-972f-46ae-99a0-79ad1b2b02e7,1aa75a2f-59d0-4264-8930-5b7d36156e45
First Class,Consumer,United States,Springfield,Virginia,22153,South,Office Supplies,Paper,75.88,2,0.0,35.6636,ed08dd65-83b9-46d7-8493-a7c666e6299c,ecdee95d-3767-4b36-9f31-9c3ba4a7b228,efe32969-3c1a-4c37-a0ae-35295a30cbb7,f03e68f1-1ff2-4fd3-af73-d419273c4c7b
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Binders,4.616,1,0.2,1.731,b5176502-d9d6-4a21-989f-053e1407d6eb,475220cc-6eb5-4269-8095-3898dc970c5b,c1973895-6814-4ddb-bc02-1d14f62e52f9,00adf5d5-bfad-41f3-89af-deb372f7facf
Second Class,Consumer,United States,Jackson,Michigan,49201,Central,Office Supplies,Paper,19.05,3,0.0,8.763,aff553a4-3daa-4867-afc0-14266bb20768,f576ca28-45bd-44bd-a6b5-7d5a061409f7,efe32969-3c1a-4c37-a0ae-35295a30cbb7,59a903b2-ef05-4806-a8f3-5376343a40f6
Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Chairs,831.936,8,0.2,-114.3912,68a2743b-9dff-4d1b-8817-73a929fa1b20,229d9bbe-191f-4ade-9076-0b0a04f685d9,c1501176-6208-4087-9c61-6d1d04993c21,66fea7d1-ace4-433b-8439-7706952cf68e
Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Furnishings,97.04,2,0.2,1.213,68a2743b-9dff-4d1b-8817-73a929fa1b20,229d9bbe-191f-4ade-9076-0b0a04f685d9,a84c2a8a-3c6f-4a96-8a97-761ea48fc42c,66fea7d1-ace4-433b-8439-7706952cf68e
Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Office Supplies,Storage,72.784,1,0.2,-18.196,68a2743b-9dff-4d1b-8817-73a929fa1b20,229d9bbe-191f-4ade-9076-0b0a04f685d9,b1035e3a-d289-47fd-997c-678681c45782,66fea7d1-ace4-433b-8439-7706952cf68e
First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Binders,1.248,3,0.8,-1.9344,d0a2cbbf-6340-4dd9-8e38-ad1a7650b04d,afaed695-1fd6-463f-b8d9-c5007b2fbc9b,c1973895-6814-4ddb-bc02-1d14f62e52f9,91c32ddd-9d9b-427e-9b72-cff742eebc0c
First Class,Corporate,United States,Houston,Texas,77041,Central,Furniture,Furnishings,9.708,3,0.6,-5.8248,d0a2cbbf-6340-4dd9-8e38-ad1a7650b04d,afaed695-1fd6-463f-b8d9-c5007b2fbc9b,a84c2a8a-3c6f-4a96-8a97-761ea48fc42c,91c32ddd-9d9b-427e-9b72-cff742eebc0c
First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Storage,27.24,3,0.2,2.724,d0a2cbbf-6340-4dd9-8e38-ad1a7650b04d,afaed695-1fd6-463f-b8d9-c5007b2fbc9b,b1035e3a-d289-47fd-997c-678681c45782,91c32ddd-9d9b-427e-9b72-cff742eebc0c
Second Class,Consumer,United States,Houston,Texas,77070,Central,Furniture,Furnishings,19.3,5,0.6,-14.475,d01cad50-f6a5-4e5e-a90e-dda6c6b0d62b,a2f4954a-5915-4a05-b273-0e7e160578ea,a84c2a8a-3c6f-4a96-8a97-761ea48fc42c,9ddfbf88-f0a5-4ade-be34-e3ae717da041
First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Appliances,208.16,1,0.0,56.2032,27083ae6-a61e-4a05-8b16-7fb4b929dba6,9c804833-b1b0-48a6-bd2d-92c622d62398,1dca2f11-e5d6-478f-ada8-1bf610f3bcb4,34f798de-2b79-43c1-af4b-a2dc15301574
First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Binders,16.74,3,0.0,8.0352,27083ae6-a61e-4a05-8b16-7fb4b929dba6,9c804833-b1b0-48a6-bd2d-92c622d62398,c1973895-6814-4ddb-bc02-1d14f62e52f9,34f798de-2b79-43c1-af4b-a2dc15301574
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Art,14.9,5,0.0,4.172,f39ab84b-a7a5-41f6-9841-27e120ca20db,fe5b99d3-1171-4834-8e39-52702c32cde5,e1e2ad17-6d85-425e-874e-dc4ccc3118ff,611c7d1d-ca3a-4f77-9e31-098dd6f2a514
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Storage,21.39,1,0.0,6.2031,f39ab84b-a7a5-41f6-9841-27e120ca20db,fe5b99d3-1171-4834-8e39-52702c32cde5,b1035e3a-d289-47fd-997c-678681c45782,611c7d1d-ca3a-4f77-9e31-098dd6f2a514
Standard Class,Corporate,United States,Durham,North Carolina,27707,South,Office Supplies,Envelopes,200.984,7,0.2,62.8075,dbab62e9-861b-422e-bfc8-c84fa5049613,06e7edae-4202-4d6a-93ac-b3b6cfbbe4d5,3f7bebe9-c6dd-4d66-8a1e-204d4cef5663,5281b75f-a30e-40d3-8cac-555d93837c82
